iteration,time,bestobj
1323,11.5475,24939
1324,11.5545,24939
1325,11.5614,24939
1326,11.5694,24939
1327,11.5763,24939
1328,11.5831,24939
1329,11.5899,24939
1330,11.5968,24939
1331,11.6035,24939
1332,11.6104,24939
1333,11.6172,24939
1334,11.6244,24939
1335,11.6361,24939
1336,11.6446,24939
1337,11.6515,24939
1338,11.6584,24939
1339,11.6653,24939
1340,11.6721,24939
1341,11.679,24939
1342,11.6858,24939
1343,11.6925,24939
1344,11.6994,24939
1345,11.7062,24939
1346,11.715,24939
1347,11.7219,24939
1348,11.7289,24939
1349,11.7358,24939
1350,11.7428,24939
1351,11.7495,24939
1352,11.7565,24939
1353,11.7641,24939
1354,11.7713,24939
1355,11.7783,24939
1356,11.7858,24939
1357,11.7927,24939
